order_item_id,order_id,product_id,quantity,item_price
OI000010,O00001,P0994,3,75.47
OI000011,O00001,P0019,1,176.27
OI000012,O00001,P0948,1,79.91
OI000020,O00002,P0583,2,163.4
OI000021,O00002,P0798,2,175.18
OI000022,O00002,P0605,1,137.9
OI000023,O00002,P0129,1,184.24
OI000030,O00003,P0523,1,80.13
OI000031,O00003,P0763,3,121.06
OI000032,O00003,P0182,1,15.73
OI000033,O00003,P0138,3,52.77
OI000040,O00004,P0979,1,105.19
OI000041,O00004,P0372,2,159.78
OI000050,O00005,P0280,3,101.6
OI000051,O00005,P0674,3,174.36
OI000052,O00005,P0804,2,92.69
OI000053,O00005,P0150,3,22.47
OI000060,O00006,P0514,2,164.46
OI000061,O00006,P0355,2,114.59
OI000062,O00006,P0665,2,61.14
OI000063,O00006,P0492,3,129.75
OI000064,O00006,P0951,3,156.67
OI000070,O00007,P0983,1,98.4
OI000080,O00008,P0374,2,101.28
OI000081,O00008,P0235,3,36.18
OI000082,O00008,P0406,3,34.09
OI000083,O00008,P0895,3,137.8
OI000090,O00009,P0435,2,73.8
OI000091,O00009,P0849,3,166.48
OI000092,O00009,P0218,1,156.04
OI000093,O00009,P0859,3,175.37
OI000100,O00010,P0601,1,100.27
OI000101,O00010,P0967,2,12.96
OI000102,O00010,P0753,3,130.26
OI000103,O00010,P0411,2,69.76
OI000110,O00011,P0704,2,21.85
OI000111,O00011,P0306,2,42.56
OI000112,O00011,P0698,3,113.39
OI000113,O00011,P0856,2,37.6
OI000114,O00011,P0515,2,38.05
OI000120,O00012,P0325,2,135.36
OI000121,O00012,P0799,1,164.83
OI000130,O00013,P0987,2,49.65
OI000131,O00013,P0759,1,180.63
OI000132,O00013,P0239,3,102.88
OI000133,O00013,P0973,1,10.29
OI000140,O00014,P0815,1,176.95
OI000141,O00014,P0618,3,21.83
OI000142,O00014,P0297,2,88.79
OI000143,O00014,P0997,1,159.79
OI000150,O00015,P0168,1,184.21
OI000160,O00016,P0233,1,113.28
OI000170,O00017,P0118,3,79.98
OI000171,O00017,P0363,2,49.7
OI000172,O00017,P0263,3,156.57
OI000173,O00017,P0687,2,90.49
OI000174,O00017,P0140,1,162.12
OI000180,O00018,P0136,2,144.21
OI000181,O00018,P0002,3,193.44
OI000182,O00018,P0516,1,143.85
OI000183,O00018,P0948,1,79.91
OI000190,O00019,P0541,3,27.53
OI000200,O00020,P0288,3,153.42
OI000201,O00020,P0890,2,50.4
OI000202,O00020,P0958,2,144.61
OI000210,O00021,P0113,2,26.52
OI000211,O00021,P0093,2,189.84
OI000212,O00021,P0291,2,70.72
OI000213,O00021,P0083,1,110.39
OI000214,O00021,P0624,1,146.33
OI000220,O00022,P0257,3,161.16
OI000221,O00022,P0326,2,137.6
OI000222,O00022,P0366,3,176.37
OI000223,O00022,P0090,1,132.54
OI000230,O00023,P0792,1,114.74
OI000231,O00023,P0700,1,56.24
OI000232,O00023,P0597,1,96.22
OI000233,O00023,P0352,2,40.83
OI000240,O00024,P0188,1,149.1
OI000241,O00024,P0941,1,50.47
OI000242,O00024,P0330,1,52.9
OI000250,O00025,P0039,1,73.18
OI000251,O00025,P0959,2,134.93
OI000252,O00025,P0058,3,99.61
OI000253,O00025,P0034,1,131.83
OI000254,O00025,P0739,3,138.15
OI000260,O00026,P0414,1,38.02
OI000261,O00026,P0636,1,152.93
OI000262,O00026,P0889,1,123.72
OI000263,O00026,P0267,3,96.37
OI000264,O00026,P0998,1,56.97
OI000270,O00027,P0017,2,162.64
OI000280,O00028,P0800,2,98.68
OI000290,O00029,P0978,3,147.7
OI000291,O00029,P0372,1,159.78
OI000300,O00030,P0505,3,146.12
OI000301,O00030,P0112,1,129.08
OI000302,O00030,P0272,1,115.98
OI000303,O00030,P0154,3,20.55
OI000310,O00031,P0343,1,189.73
OI000311,O00031,P0008,3,72.74
OI000320,O00032,P0216,2,10.35
OI000321,O00032,P0757,3,183.43
OI000322,O00032,P0658,3,57.79
OI000323,O00032,P0952,3,151.28
OI000324,O00032,P0982,3,139.96
OI000330,O00033,P0836,3,102.42
OI000331,O00033,P0357,3,17.28
OI000340,O00034,P0644,2,18.36
OI000341,O00034,P0706,2,103.7
