order_id,customer_id,order_date,total_amount,status
O00001,C04929,2023-11-12,482.59,Delivered
O00002,C03392,2024-06-08,999.3,Cancelled
O00003,C00559,2023-09-01,617.35,Delivered
O00004,C02286,2024-06-24,424.75,Shipped
O00005,C04461,2024-12-17,1080.67,Shipped
O00006,C01620,2024-01-03,1539.64,Returned
O00007,C00526,2024-06-29,98.4,Returned
O00008,C03105,2024-10-16,826.77,Cancelled
O00009,C02320,2024-07-25,1329.19,Delivered
O00010,C02364,2025-02-20,656.49,Delivered
O00011,C04803,2024-10-15,620.29,Delivered
O00012,C04799,2023-08-24,435.55,Delivered
O00013,C03598,2023-09-27,598.86,Returned
O00014,C01893,2024-04-07,579.81,Cancelled
O00015,C04073,2025-01-07,184.21,Cancelled
O00016,C04948,2024-05-23,113.28,Cancelled
O00017,C00082,2023-11-30,1152.15,Returned
O00018,C03252,2024-04-10,1092.5,Delivered
O00019,C01294,2023-12-09,82.59,Shipped
O00020,C03880,2023-09-09,850.28,Delivered
O00021,C00265,2025-03-20,830.88,Returned
O00022,C01801,2024-04-18,1420.33,Delivered
O00023,C00558,2023-08-02,348.86,Shipped
O00024,C02414,2024-04-29,252.47,Shipped
O00025,C01277,2024-06-03,1188.15,Cancelled
O00026,C00166,2024-12-24,660.75,Shipped
O00027,C01653,2024-12-27,325.28,Delivered
O00028,C00658,2025-03-27,197.36,Delivered
O00029,C04108,2023-05-25,602.88,Cancelled
O00030,C03052,2024-04-12,745.07,Shipped
O00031,C04531,2024-07-06,407.95,Delivered
O00032,C03046,2024-02-12,1618.08,Delivered
O00033,C02513,2023-08-03,359.1,Shipped
O00034,C01250,2024-05-10,1407.77,Returned
O00035,C00172,2025-01-11,15.18,Cancelled
O00036,C02112,2023-05-04,644.06,Cancelled
O00037,C00949,2024-01-17,588.88,Returned
O00038,C02137,2024-11-07,183.09,Returned
O00039,C02651,2023-07-16,504.34,Delivered
O00040,C01185,2023-11-18,569.93,Shipped
O00041,C01991,2023-10-06,576.26,Delivered
O00042,C04566,2024-12-16,637.99,Cancelled
O00043,C03229,2023-07-16,357.58,Returned
O00044,C01305,2023-09-21,559.84,Shipped
O00045,C02744,2024-08-13,437.2,Cancelled
O00046,C02076,2025-02-15,659.3,Cancelled
O00047,C04075,2023-10-03,521.52,Shipped
O00048,C03343,2025-03-06,352.24,Returned
O00049,C00043,2024-12-22,382.35,Cancelled
O00050,C02699,2024-03-06,406.35,Cancelled
O00051,C00259,2023-08-09,340.2,Returned
O00052,C02840,2024-03-23,478.46,Returned
O00053,C01525,2024-02-06,547.88,Delivered
O00054,C04915,2023-06-01,142.71,Cancelled
O00055,C04050,2023-09-16,1017.65,Delivered
O00056,C03124,2024-01-17,1321.98,Cancelled
O00057,C02071,2023-11-15,538.74,Cancelled
O00058,C04658,2025-02-22,146.0,Cancelled
O00059,C00809,2025-01-09,108.76,Delivered
O00060,C02103,2024-09-23,874.62,Delivered
O00061,C04019,2024-08-21,463.98,Returned
O00062,C02069,2024-09-20,947.88,Shipped
O00063,C04096,2023-06-08,1269.32,Delivered
O00064,C00297,2023-06-25,298.2,Shipped
O00065,C02280,2024-01-05,92.69,Delivered
O00066,C03196,2023-11-17,1243.71,Delivered
O00067,C04737,2024-05-11,257.88,Returned
O00068,C01723,2024-01-02,279.85,Shipped
O00069,C01355,2023-12-01,1022.69,Delivered
O00070,C01266,2025-02-22,904.47,Cancelled
O00071,C00368,2024-09-03,761.21,Shipped
O00072,C02513,2023-06-23,398.79,Cancelled
O00073,C00524,2023-07-18,472.12,Delivered
O00074,C03858,2024-05-08,278.07,Shipped
O00075,C01142,2025-03-22,1005.71,Shipped
O00076,C02478,2025-04-03,731.85,Shipped
O00077,C02703,2025-01-09,78.14,Shipped
O00078,C02511,2025-02-19,406.45,Shipped
O00079,C03892,2024-10-17,947.67,Delivered
O00080,C02186,2024-08-02,1133.88,Cancelled
O00081,C03517,2023-08-25,568.17,Cancelled
O00082,C02193,2023-05-17,134.38,Delivered
O00083,C02637,2024-02-22,573.26,Cancelled
O00084,C01330,2024-11-15,401.16,Delivered
O00085,C01265,2025-03-09,126.57,Delivered
O00086,C02606,2023-10-07,469.41,Returned
O00087,C01337,2023-08-30,1006.88,Shipped
O00088,C00922,2025-02-16,437.6,Shipped
O00089,C01551,2023-04-25,334.49,Cancelled
O00090,C03894,2023-06-08,626.11,Returned
O00091,C00867,2024-11-14,74.48,Shipped
O00092,C03204,2023-05-06,946.41,Cancelled
O00093,C00473,2024-06-15,105.89,Shipped
O00094,C03311,2023-07-11,749.85,Shipped
O00095,C01777,2025-03-07,650.64,Delivered
O00096,C02186,2024-08-24,487.65,Delivered
O00097,C02138,2023-12-05,360.31,Shipped
O00098,C01732,2023-12-17,860.69,Shipped
O00099,C02720,2023-12-16,878.4,Returned
O00100,C01437,2024-11-11,377.9,Delivered
O00101,C03558,2023-08-04,81.66,Cancelled
O00102,C00992,2024-05-01,394.38,Returned
O00103,C04068,2024-04-13,289.92,Returned
O00104,C02425,2024-03-03,445.65,Cancelled
O00105,C02225,2023-12-07,444.33,Shipped
O00106,C02555,2024-12-20,665.08,Delivered
O00107,C03440,2025-03-13,225.66,Returned
O00108,C04050,2024-11-26,368.22,Shipped
O00109,C03948,2024-01-18,306.03,Shipped
O00110,C01134,2024-11-26,30.64,Returned
O00111,C02555,2023-06-09,544.8,Shipped
O00112,C01883,2024-01-31,414.28,Returned
O00113,C03431,2025-02-17,448.38,Shipped
O00114,C04886,2023-05-10,487.9,Delivered
O00115,C00089,2024-07-13,729.61,Cancelled
O00116,C02593,2024-02-04,468.68,Delivered
O00117,C04024,2023-06-12,550.49,Delivered
O00118,C04377,2023-06-29,272.01,Delivered
O00119,C02297,2024-12-18,14.54,Delivered
O00120,C02448,2024-07-04,900.47,Cancelled
O00121,C01466,2024-11-22,562.58,Shipped
O00122,C02218,2024-11-19,1358.88,Delivered
O00123,C00995,2023-07-14,726.43,Shipped
O00124,C04227,2023-05-24,416.7,Shipped
O00125,C00774,2023-07-31,637.44,Returned
O00126,C03000,2024-11-05,195.45,Delivered
O00127,C04001,2023-08-20,557.6,Cancelled
O00128,C04975,2024-12-18,612.96,Delivered
O00129,C04941,2024-07-21,220.94,Shipped
O00130,C01545,2024-02-11,602.46,Returned
O00131,C02258,2023-10-14,525.68,Returned
O00132,C04475,2023-12-14,35.35,Delivered
O00133,C00095,2024-06-10,130.82,Returned
O00134,C03566,2024-07-24,596.5,Shipped
O00135,C02689,2024-06-03,319.56,Delivered
O00136,C02433,2024-03-26,560.56,Shipped
O00137,C02826,2024-01-18,228.9,Returned
O00138,C03754,2023-09-08,541.29,Cancelled
O00139,C01158,2024-08-29,1447.89,Shipped
O00140,C03192,2023-04-10,354.05,Delivered
O00141,C00195,2023-11-24,755.02,Returned
O00142,C04972,2023-10-14,192.26,Shipped
O00143,C04990,2024-08-25,400.44,Returned
O00144,C01462,2024-09-03,1332.16,Cancelled
O00145,C03442,2024-04-21,1144.16,Returned
O00146,C04841,2024-05-25,218.1,Cancelled
O00147,C00921,2024-07-22,393.05,Cancelled
O00148,C00227,2024-05-08,1001.99,Returned
O00149,C03629,2025-02-19,1650.64,Cancelled
O00150,C03882,2023-12-12,580.92,Delivered
O00151,C02761,2023-09-03,174.35,Returned
O00152,C01334,2025-01-15,614.1,Returned
O00153,C01636,2024-12-11,145.48,Delivered
O00154,C01265,2024-11-10,648.03,Cancelled
O00155,C03324,2024-06-15,344.91,Shipped
O00156,C01523,2024-01-15,983.17,Cancelled
O00157,C04389,2023-04-22,18.26,Returned
O00158,C03709,2025-01-21,908.39,Shipped
O00159,C03588,2023-04-25,405.9,Delivered
O00160,C00601,2024-07-07,400.77,Shipped
O00161,C04868,2025-03-21,367.9,Cancelled
O00162,C04268,2023-05-13,807.66,Shipped
O00163,C01232,2024-06-01,266.68,Returned
O00164,C02538,2024-06-07,1316.27,Delivered
O00165,C02901,2025-02-15,32.34,Returned
O00166,C02835,2024-09-06,242.62,Cancelled
O00167,C02885,2023-12-30,591.18,Shipped
O00168,C04891,2024-10-23,596.41,Delivered
O00169,C02408,2024-02-13,177.02,Delivered
O00170,C04407,2023-09-24,458.79,Shipped
O00171,C00359,2024-06-09,154.01,Delivered
O00172,C03143,2023-06-25,1043.88,Shipped
O00173,C00245,2025-03-23,196.8,Delivered
O00174,C02319,2024-01-26,207.04,Returned
O00175,C03441,2023-10-09,759.09,Shipped
O00176,C03402,2023-05-27,1066.47,Returned
O00177,C03750,2023-06-08,90.19,Cancelled
O00178,C00293,2025-04-06,313.42,Returned
O00179,C02703,2023-05-10,267.55,Delivered
O00180,C02259,2024-07-24,301.8,Shipped
O00181,C04661,2024-06-18,524.77,Delivered
O00182,C01055,2024-09-09,1784.15,Shipped
O00183,C04300,2023-04-15,477.67,Delivered
O00184,C03984,2024-03-11,366.6,Shipped
O00185,C04427,2023-05-02,87.32,Cancelled
O00186,C02485,2024-10-20,226.84,Shipped
O00187,C01075,2023-06-25,1665.29,Delivered
O00188,C02101,2023-04-22,81.08,Cancelled
O00189,C00365,2025-02-04,1128.03,Returned
O00190,C03415,2024-10-04,189.59,Returned
O00191,C01583,2023-09-18,942.13,Returned
O00192,C04032,2023-12-07,426.37,Shipped
O00193,C02943,2024-10-30,471.13,Cancelled
O00194,C01633,2023-09-27,583.56,Shipped
O00195,C04383,2023-12-22,792.51,Delivered
O00196,C00221,2025-02-10,1271.89,Shipped
O00197,C02081,2024-01-14,286.61,Shipped
O00198,C00857,2023-07-01,1405.84,Cancelled
O00199,C00999,2024-05-15,692.88,Cancelled
O00200,C03982,2024-09-07,925.86,Cancelled
O00201,C00637,2023-11-12,682.23,Returned
O00202,C00847,2023-09-11,270.96,Returned
O00203,C04151,2024-08-17,301.13,Delivered
O00204,C03950,2023-12-29,608.93,Cancelled
O00205,C02322,2024-11-26,395.0,Shipped
O00206,C03798,2024-06-02,869.7,Returned
O00207,C00879,2023-07-16,817.2,Shipped
O00208,C04637,2023-05-30,113.34,Delivered
O00209,C04291,2025-01-03,210.11,Shipped
O00210,C00956,2025-01-13,713.69,Cancelled
O00211,C03540,2024-09-08,757.17,Cancelled
O00212,C02799,2023-10-10,600.89,Returned
O00213,C01228,2023-12-25,271.59,Returned
O00214,C04968,2025-02-10,552.2,Shipped
O00215,C03912,2024-07-22,1341.36,Shipped
O00216,C01711,2024-08-06,68.07,Delivered
O00217,C02122,2023-05-18,1421.45,Returned
O00218,C00544,2024-11-28,871.46,Delivered
O00219,C02303,2024-01-11,872.25,Returned
O00220,C02633,2024-11-23,897.72,Returned
O00221,C02937,2024-01-19,494.79,Returned
O00222,C03281,2023-07-13,874.87,Delivered
O00223,C01175,2024-07-29,21.65,Shipped
O00224,C04558,2023-10-22,627.83,Cancelled
O00225,C04631,2023-11-09,14.59,Delivered
O00226,C02601,2025-02-13,507.96,Returned
O00227,C03126,2025-04-01,440.09,Delivered
O00228,C00090,2025-02-15,310.48,Shipped
O00229,C00753,2024-02-11,586.15,Cancelled
O00230,C04067,2023-08-22,797.15,Returned
O00231,C04073,2024-08-01,1211.14,Cancelled
O00232,C01902,2023-11-03,14.62,Shipped
O00233,C00341,2024-02-18,1305.62,Delivered
O00234,C03713,2024-09-21,555.69,Returned
O00235,C04278,2023-06-01,504.71,Returned
O00236,C04538,2024-06-11,458.24,Shipped
O00237,C03753,2024-02-06,951.99,Returned
O00238,C00992,2023-06-16,1122.43,Returned
O00239,C03705,2024-03-06,533.99,Shipped
O00240,C03570,2024-04-14,588.46,Returned
O00241,C04824,2024-07-11,116.19,Cancelled
O00242,C04677,2024-02-26,56.24,Shipped
O00243,C02541,2024-05-14,1130.44,Delivered
O00244,C01938,2024-10-14,633.54,Cancelled
O00245,C03289,2023-11-10,774.77,Returned
O00246,C00875,2024-04-18,538.13,Delivered
O00247,C03739,2024-04-05,654.53,Cancelled
O00248,C01500,2023-10-28,685.03,Shipped
O00249,C01413,2023-06-27,1128.48,Shipped
O00250,C03145,2023-11-21,201.15,Shipped
O00251,C04429,2024-12-12,979.86,Returned
O00252,C00616,2024-10-03,488.28,Cancelled
O00253,C02941,2023-11-09,1021.34,Delivered
O00254,C01293,2024-06-27,207.64,Shipped
O00255,C00391,2025-03-16,1403.63,Shipped
O00256,C02658,2024-12-16,419.01,Shipped
O00257,C03762,2025-03-30,284.92,Delivered
O00258,C00842,2024-02-09,1180.59,Cancelled
O00259,C00479,2023-10-13,100.94,Delivered
O00260,C04298,2025-03-31,864.86,Returned
O00261,C02175,2023-04-18,314.44,Cancelled
O00262,C03623,2024-02-27,996.06,Shipped
O00263,C04296,2023-05-15,931.32,Shipped
O00264,C04600,2025-03-07,80.68,Returned
O00265,C01227,2023-11-05,506.19,Delivered
O00266,C03552,2024-11-03,426.84,Cancelled
O00267,C00315,2024-10-22,744.87,Returned
O00268,C02246,2025-01-11,315.84,Shipped
O00269,C00822,2025-01-29,422.38,Cancelled
O00270,C00159,2025-02-15,235.2,Cancelled
O00271,C04747,2023-04-14,300.62,Cancelled
O00272,C04488,2023-04-22,566.82,Shipped
O00273,C03025,2024-07-03,664.35,Cancelled
O00274,C04819,2023-06-23,250.88,Returned
O00275,C02805,2024-04-18,210.66,Returned
O00276,C02993,2023-12-29,275.76,Cancelled
O00277,C02957,2023-12-31,801.36,Cancelled
O00278,C04142,2024-11-02,361.86,Shipped
O00279,C01356,2024-11-14,450.62,Delivered
O00280,C01515,2024-09-06,798.69,Cancelled
O00281,C02126,2025-04-02,249.16,Shipped
O00282,C03066,2023-06-29,782.05,Cancelled
O00283,C03392,2024-08-17,91.66,Delivered
O00284,C04871,2024-07-11,945.92,Shipped
O00285,C02995,2025-01-16,374.62,Delivered
O00286,C04650,2023-07-28,96.76,Delivered
O00287,C02371,2024-09-14,1485.22,Cancelled
O00288,C03310,2024-04-07,1009.1,Delivered
O00289,C00501,2024-07-02,391.4,Shipped
O00290,C04129,2024-12-12,823.96,Cancelled
O00291,C02093,2023-06-19,44.04,Returned
O00292,C03932,2024-10-08,637.72,Shipped
O00293,C04024,2023-10-03,521.26,Returned
O00294,C00128,2024-09-08,409.55,Cancelled
O00295,C00055,2023-09-28,412.22,Cancelled
O00296,C02077,2023-07-26,926.16,Delivered
O00297,C02959,2024-09-12,874.39,Delivered
O00298,C03470,2025-02-14,829.1,Delivered
O00299,C02133,2023-08-16,600.3,Cancelled
O00300,C01498,2023-08-10,1300.21,Delivered
O00301,C01659,2024-12-19,1008.58,Returned
O00302,C01336,2023-09-23,192.06,Cancelled
O00303,C01343,2024-02-09,185.18,Cancelled
O00304,C00492,2025-01-10,39.15,Returned
O00305,C04709,2024-02-18,162.59,Returned
O00306,C04694,2023-09-01,331.76,Returned
O00307,C04881,2023-08-07,1105.54,Shipped
O00308,C00244,2025-02-21,1327.08,Delivered
O00309,C02602,2023-12-17,736.22,Shipped
O00310,C04855,2024-01-22,560.7,Cancelled
O00311,C00331,2025-04-05,78.12,Delivered
O00312,C02991,2023-10-16,315.88,Returned
O00313,C04230,2023-06-26,1033.2,Shipped
O00314,C04537,2025-03-03,265.5,Delivered
O00315,C01183,2024-02-25,153.87,Shipped
O00316,C02904,2023-07-28,568.18,Shipped
O00317,C03372,2024-08-28,204.15,Shipped
O00318,C01126,2023-07-18,1179.53,Cancelled
O00319,C01765,2024-01-03,323.24,Returned
O00320,C03430,2024-05-29,313.85,Returned
O00321,C02728,2024-06-13,612.84,Cancelled
O00322,C04638,2025-01-26,110.19,Shipped
O00323,C02175,2025-01-18,627.47,Returned
O00324,C02709,2024-11-19,255.9,Returned
O00325,C00802,2025-01-25,443.05,Shipped
O00326,C00793,2023-05-03,909.8,Cancelled
O00327,C01950,2025-03-12,481.55,Shipped
O00328,C03832,2024-05-25,976.31,Cancelled
O00329,C01782,2024-12-15,733.64,Shipped
O00330,C03680,2023-12-24,840.65,Delivered
O00331,C01562,2023-09-19,1117.2,Delivered
O00332,C02874,2023-09-10,432.0,Delivered
O00333,C00901,2023-10-07,429.54,Returned
O00334,C00061,2023-12-11,470.33,Cancelled
O00335,C02371,2023-07-18,527.69,Shipped
O00336,C04688,2023-07-21,658.28,Returned
O00337,C03712,2024-03-18,1100.01,Delivered
O00338,C00870,2024-11-09,732.8,Shipped
O00339,C00512,2023-11-12,1035.9,Shipped
O00340,C00115,2023-11-29,1559.89,Cancelled
O00341,C04851,2024-04-14,662.44,Shipped
O00342,C01274,2024-12-21,398.76,Delivered
O00343,C01673,2025-01-09,552.12,Delivered
O00344,C00616,2025-01-11,396.98,Delivered
O00345,C00544,2023-12-15,157.85,Cancelled
O00346,C03556,2023-12-16,832.56,Shipped
O00347,C04526,2024-02-19,656.99,Cancelled
O00348,C00396,2024-04-29,721.45,Delivered
O00349,C04886,2024-04-17,897.11,Shipped
O00350,C02449,2025-03-12,1522.84,Cancelled
O00351,C04189,2023-07-29,1101.5,Returned
O00352,C01702,2023-08-22,325.66,Returned
O00353,C01599,2023-09-16,157.81,Delivered
O00354,C04374,2023-07-28,283.96,Delivered
O00355,C03808,2024-07-28,828.78,Returned
O00356,C03216,2025-01-02,379.47,Delivered
O00357,C03605,2024-10-11,31.13,Shipped
O00358,C04294,2023-09-25,686.84,Delivered
O00359,C01630,2023-12-19,271.26,Cancelled
O00360,C00496,2024-12-18,1235.94,Delivered
O00361,C00333,2023-05-31,1118.18,Shipped
O00362,C00707,2024-01-05,183.02,Cancelled
O00363,C01346,2024-01-01,902.17,Returned
O00364,C03986,2024-05-26,206.27,Returned
O00365,C01205,2024-06-05,673.51,Shipped
O00366,C03620,2024-08-17,540.84,Shipped
O00367,C03122,2023-07-12,1081.74,Cancelled
O00368,C00076,2024-12-03,630.75,Delivered
O00369,C04171,2024-01-22,304.16,Shipped
O00370,C03547,2025-03-22,654.41,Shipped
O00371,C04443,2023-04-14,1596.01,Delivered
O00372,C02636,2024-08-23,501.52,Shipped
