return_id,order_id,product_id,return_date,reason
R00001,O00006,P0514,2024-01-14,No longer needed
R00002,O00006,P0355,2024-01-14,Damaged item
R00003,O00006,P0665,2024-01-05,Damaged item
R00004,O00006,P0492,2024-01-13,Damaged item
R00005,O00006,P0951,2024-01-11,Wrong item
R00006,O00007,P0983,2024-06-30,Wrong item
R00007,O00013,P0987,2023-10-04,Damaged item
R00008,O00013,P0759,2023-10-08,No longer needed
R00009,O00013,P0239,2023-09-30,Late delivery
R00010,O00013,P0973,2023-09-28,Late delivery
R00011,O00017,P0118,2023-12-02,Damaged item
R00012,O00017,P0363,2023-12-06,No longer needed
R00013,O00017,P0263,2023-12-04,Wrong item
R00014,O00017,P0687,2023-12-03,Late delivery
R00015,O00017,P0140,2023-12-10,Late delivery
R00016,O00021,P0113,2025-03-22,Wrong item
R00017,O00021,P0093,2025-03-22,Damaged item
R00018,O00021,P0291,2025-04-01,Late delivery
R00019,O00021,P0083,2025-04-02,Damaged item
R00020,O00021,P0624,2025-03-22,Wrong item
R00021,O00034,P0644,2024-05-14,Wrong item
R00022,O00034,P0706,2024-05-18,Wrong item
R00023,O00034,P0253,2024-05-20,Wrong item
R00024,O00034,P0745,2024-05-15,Wrong item
R00025,O00034,P0093,2024-05-21,Late delivery
R00026,O00037,P0069,2024-01-18,No longer needed
R00027,O00037,P0005,2024-01-29,No longer needed
R00028,O00037,P0406,2024-01-27,No longer needed
R00029,O00037,P0025,2024-01-21,No longer needed
R00030,O00038,P0799,2024-11-15,Wrong item
R00031,O00038,P0418,2024-11-11,Damaged item
R00032,O00043,P0769,2023-07-22,Wrong item
R00033,O00048,P0754,2025-03-18,Late delivery
R00034,O00048,P0748,2025-03-17,No longer needed
R00035,O00048,P0567,2025-03-20,No longer needed
R00036,O00051,P0021,2023-08-18,No longer needed
R00037,O00051,P0160,2023-08-22,Late delivery
R00038,O00051,P0122,2023-08-23,No longer needed
R00039,O00051,P0379,2023-08-22,Damaged item
R00040,O00051,P0833,2023-08-15,Late delivery
R00041,O00052,P0497,2024-03-26,Late delivery
R00042,O00052,P0365,2024-03-30,Damaged item
R00043,O00052,P0425,2024-03-27,Wrong item
R00044,O00061,P0266,2024-09-03,No longer needed
R00045,O00061,P0216,2024-08-22,Late delivery
R00046,O00061,P0401,2024-08-29,Wrong item
R00047,O00061,P0733,2024-09-02,Wrong item
R00048,O00067,P0442,2024-05-22,Wrong item
R00049,O00067,P0476,2024-05-21,Wrong item
R00050,O00086,P0384,2023-10-18,Damaged item
R00051,O00086,P0304,2023-10-21,No longer needed
R00052,O00090,P0046,2023-06-09,Late delivery
R00053,O00090,P0697,2023-06-21,Wrong item
R00054,O00099,P0304,2023-12-20,Wrong item
R00055,O00099,P0565,2023-12-23,No longer needed
R00056,O00099,P0121,2023-12-19,Damaged item
R00057,O00099,P0489,2023-12-28,No longer needed
R00058,O00099,P0342,2023-12-25,Damaged item
R00059,O00102,P0279,2024-05-07,Late delivery
R00060,O00102,P0989,2024-05-09,Damaged item
R00061,O00102,P0218,2024-05-12,No longer needed
R00062,O00103,P0406,2024-04-16,Wrong item
R00063,O00103,P1000,2024-04-15,Damaged item
R00064,O00103,P0150,2024-04-19,Damaged item
R00065,O00107,P0395,2025-03-25,No longer needed
R00066,O00107,P0774,2025-03-23,Late delivery
R00067,O00107,P0221,2025-03-25,Wrong item
R00068,O00110,P0107,2024-12-05,Damaged item
R00069,O00112,P0794,2024-02-08,Damaged item
R00070,O00112,P0326,2024-02-11,Late delivery
R00071,O00125,P0279,2023-08-05,Damaged item
R00072,O00125,P0941,2023-08-07,Late delivery
R00073,O00125,P0574,2023-08-14,Late delivery
R00074,O00125,P0263,2023-08-07,No longer needed
R00075,O00125,P0955,2023-08-05,Wrong item
R00076,O00130,P0729,2024-02-13,Wrong item
R00077,O00130,P0624,2024-02-19,Late delivery
R00078,O00131,P0661,2023-10-25,No longer needed
R00079,O00131,P0440,2023-10-19,Wrong item
R00080,O00131,P0312,2023-10-22,No longer needed
R00081,O00133,P0195,2024-06-11,Late delivery
R00082,O00137,P0919,2024-01-30,Late delivery
R00083,O00137,P0171,2024-01-31,No longer needed
R00084,O00137,P0691,2024-01-31,Late delivery
R00085,O00141,P0885,2023-12-07,Damaged item
R00086,O00141,P0572,2023-12-03,No longer needed
R00087,O00141,P0814,2023-11-26,Damaged item
R00088,O00141,P0374,2023-12-08,No longer needed
R00089,O00143,P0999,2024-09-01,No longer needed
R00090,O00143,P0544,2024-09-05,Wrong item
R00091,O00143,P0864,2024-08-31,No longer needed
R00092,O00145,P0312,2024-05-02,Damaged item
R00093,O00145,P0510,2024-04-23,No longer needed
R00094,O00145,P0578,2024-05-01,No longer needed
R00095,O00148,P0985,2024-05-13,Late delivery
R00096,O00148,P0365,2024-05-10,Damaged item
R00097,O00148,P0405,2024-05-20,No longer needed
R00098,O00148,P0506,2024-05-22,Wrong item
R00099,O00151,P0768,2023-09-10,No longer needed
R00100,O00151,P0323,2023-09-14,Damaged item
R00101,O00152,P0677,2025-01-19,No longer needed
R00102,O00152,P0024,2025-01-18,No longer needed
R00103,O00157,P0418,2023-05-02,Damaged item
R00104,O00163,P0927,2024-06-04,Wrong item
R00105,O00163,P0981,2024-06-11,Wrong item
R00106,O00163,P0352,2024-06-12,No longer needed
R00107,O00165,P0160,2025-03-01,Wrong item
R00108,O00174,P0630,2024-02-03,Wrong item
R00109,O00174,P0171,2024-02-09,Damaged item
R00110,O00176,P0716,2023-06-08,Late delivery
R00111,O00176,P0206,2023-06-04,Late delivery
R00112,O00176,P0284,2023-06-01,No longer needed
R00113,O00176,P0771,2023-05-28,Wrong item
R00114,O00178,P0293,2025-04-15,No longer needed
R00115,O00178,P0608,2025-04-16,Wrong item
R00116,O00189,P0382,2025-02-09,Late delivery
R00117,O00189,P0805,2025-02-06,Wrong item
R00118,O00189,P0578,2025-02-07,No longer needed
R00119,O00189,P0399,2025-02-08,Late delivery
R00120,O00189,P0936,2025-02-18,No longer needed
R00121,O00190,P0588,2024-10-12,Damaged item
R00122,O00191,P0384,2023-10-01,Late delivery
R00123,O00191,P0602,2023-09-30,No longer needed
R00124,O00191,P0516,2023-09-28,Wrong item
R00125,O00201,P0959,2023-11-17,Wrong item
R00126,O00201,P0336,2023-11-20,Wrong item
R00127,O00201,P0879,2023-11-19,Late delivery
R00128,O00201,P0391,2023-11-24,Late delivery
R00129,O00202,P0128,2023-09-25,Damaged item
R00130,O00202,P0250,2023-09-13,No longer needed
R00131,O00206,P0093,2024-06-09,Late delivery
R00132,O00206,P0850,2024-06-11,Damaged item
R00133,O00206,P0677,2024-06-06,Late delivery
R00134,O00206,P0526,2024-06-05,No longer needed
R00135,O00206,P0417,2024-06-15,No longer needed
R00136,O00212,P0006,2023-10-13,Wrong item
R00137,O00212,P0470,2023-10-23,Damaged item
R00138,O00213,P0920,2024-01-01,Late delivery
R00139,O00217,P0083,2023-05-31,Damaged item
R00140,O00217,P0149,2023-05-30,Wrong item
R00141,O00217,P0265,2023-05-24,Late delivery
R00142,O00217,P0389,2023-05-24,Late delivery
R00143,O00217,P0146,2023-05-23,Damaged item
R00144,O00219,P0114,2024-01-14,No longer needed
R00145,O00219,P0621,2024-01-14,Late delivery
R00146,O00219,P0079,2024-01-17,Damaged item
R00147,O00220,P0690,2024-12-01,Late delivery
